729 3
0 689 11
0 127 32
0 368 45
1 188 22
1 450 42
1 106 1
2 661 33
2 23 14
2 629 45
3 105 4
3 233 49
3 181 48
4 217 49
4 296 32
4 448 44
5 97 25
5 656 49
5 35 34
6 331 44
6 609 43
6 75 33
7 415 45
7 79 27
7 20 47
8 372 33
8 461 7
8 128 30
9 190 25
9 92 32
9 547 25
10 343 25
10 433 49
10 78 22
11 260 47
11 537 14
11 358 16
12 462 42
12 418 24
12 94 9
13 389 36
13 547 20
13 676 24
14 44 3
14 295 13
14 268 12
15 115 23
15 667 16
15 219 48
16 360 29
16 696 25
16 138 14
17 575 24
17 388 6
17 306 30
18 214 15
18 371 15
18 389 36
19 572 16
19 128 17
19 311 36
20 724 46
20 80 40
20 230 1
21 522 36
21 213 32
21 398 39
22 350 1
22 257 28
22 344 50
23 701 0
23 698 7
23 713 4
24 270 50
24 399 43
24 515 41
25 719 18
25 315 25
25 606 32
26 668 45
26 422 36
26 26 32
27 196 5
27 112 35
27 59 48
28 426 10
28 543 14
28 150 22
29 245 27
29 52 18
29 258 0
30 481 22
30 47 23
30 414 9
31 101 28
31 652 33
31 502 50
32 667 41
32 42 35
32 575 25
33 718 34
33 294 14
33 661 22
34 185 24
34 650 14
34 623 12
35 681 13
35 22 9
35 513 43
36 353 43
36 395 0
36 148 31
37 46 38
37 163 39
37 282 34
38 540 6
38 103 21
38 597 2
39 239 44
39 71 25
39 199 5
40 286 15
40 407 21
40 428 25
41 123 25
41 675 10
41 175 42
42 676 1
42 613 16
42 701 13
43 383 25
43 251 43
43 693 25
44 165 2
44 314 17
44 408 42
45 165 19
45 591 49
45 249 6
46 170 45
46 650 4
46 647 32
47 20 37
47 606 10
47 236 9
48 206 19
48 243 4
48 595 18
49 638 18
49 235 5
49 312 28
50 397 40
50 408 10
50 320 48
51 722 0
51 361 42
51 230 17
52 599 20
52 285 44
52 553 24
53 716 48
53 690 48
53 191 36
54 219 49
54 361 5
54 153 40
55 94 28
55 536 9
55 259 37
56 195 11
56 548 26
56 62 44
57 188 10
57 425 49
57 332 10
58 243 33
58 294 46
58 703 3
59 406 2
59 563 21
59 444 22
60 401 50
60 677 41
60 582 18
61 625 41
61 389 1
61 486 27
62 286 27
62 365 36
62 279 2
63 723 34
63 153 6
63 323 22
64 586 32
64 3 33
64 172 1
65 133 13
65 149 16
65 707 33
66 199 8
66 241 20
66 643 18
67 306 41
67 647 18
67 104 3
68 682 8
68 301 2
68 597 36
69 709 30
69 284 38
69 61 50
70 347 28
70 217 30
70 430 7
71 27 42
71 427 49
71 258 32
72 339 23
72 243 24
72 559 21
73 180 31
73 192 5
73 673 1
74 418 17
74 59 3
74 36 43
75 703 18
75 186 45
75 149 28
76 313 32
76 404 49
76 63 10
77 384 38
77 573 45
77 237 4
78 227 40
78 146 16
78 647 18
79 121 33
79 596 44
79 19 8
80 301 2
80 300 1
80 196 41
81 234 25
81 693 36
81 465 3
82 42 38
82 557 7
82 477 23
83 4 29
83 458 4
83 403 40
84 466 39
84 462 46
84 527 11
85 130 42
85 414 41
85 640 5
86 29 36
86 130 16
86 498 3
87 692 27
87 446 25
87 727 18
88 354 9
88 528 11
88 478 20
89 598 41
89 585 20
89 259 33
90 284 17
90 132 37
90 78 42
91 338 31
91 51 22
91 386 30
92 484 32
92 685 35
92 612 47
93 237 29
93 653 22
93 238 14
94 300 18
94 648 13
94 84 2
95 76 31
95 657 8
95 468 28
96 674 2
96 697 48
96 505 19
97 178 3
97 171 6
97 476 37
98 558 49
98 47 5
98 81 15
99 363 17
99 506 32
99 518 34
100 453 43
100 87 18
100 479 38
101 603 0
101 564 39
101 293 7
102 418 20
102 41 5
102 39 44
103 218 34
103 589 9
103 170 46
104 169 8
104 486 45
104 111 7
105 356 10
105 601 40
105 606 10
106 487 45
106 213 33
106 605 42
107 47 30
107 326 17
107 12 33
108 240 33
108 639 29
108 421 21
109 96 16
109 703 24
109 456 9
110 114 40
110 555 4
110 199 34
111 79 0
111 404 39
111 169 5
112 230 18
112 463 33
112 549 43
113 596 43
113 404 13
113 635 3
114 129 38
114 389 21
114 629 39
115 378 42
115 343 13
115 440 27
116 220 14
116 185 44
116 232 33
117 306 31
117 132 19
117 472 8
118 578 3
118 693 1
118 35 21
119 572 45
119 88 36
119 230 1
120 124 25
120 149 0
120 279 44
121 306 8
121 502 2
121 604 25
122 446 29
122 51 14
122 716 11
123 529 13
123 451 37
123 587 2
124 47 23
124 304 37
124 527 11
125 541 39
125 51 20
125 31 0
126 711 20
126 455 29
126 194 11
127 365 49
127 386 6
127 124 45
128 485 36
128 623 4
128 31 47
129 298 9
129 320 33
129 437 8
130 244 32
130 122 0
130 592 5
131 486 39
131 174 11
131 654 50
132 333 45
132 344 2
132 207 2
133 176 46
133 721 46
133 407 17
134 612 38
134 660 45
134 139 39
135 339 19
135 17 22
135 609 14
136 15 24
136 53 4
136 1 44
137 718 5
137 67 19
137 560 4
138 172 28
138 352 23
138 42 17
139 717 1
139 584 33
139 286 39
140 263 45
140 587 6
140 273 46
141 225 10
141 24 6
141 696 27
142 421 9
142 378 0
142 373 3
143 465 8
143 555 15
143 545 20
144 494 35
144 163 35
144 582 28
145 186 4
145 549 45
145 203 16
146 584 40
146 88 5
146 571 2
147 94 7
147 399 25
147 277 3
148 599 38
148 576 45
148 98 50
149 428 36
149 363 25
149 150 22
150 513 33
150 365 5
150 282 19
151 455 37
151 418 17
151 314 48
152 121 3
152 163 43
152 37 1
153 367 41
153 23 3
153 416 28
154 476 50
154 41 29
154 604 40
155 355 3
155 261 5
155 247 19
156 189 25
156 653 36
156 195 27
157 100 9
157 5 24
157 640 36
158 462 41
158 343 8
158 713 31
159 433 28
159 87 22
159 585 29
160 6 32
160 651 49
160 44 14
161 561 39
161 182 44
161 233 38
162 592 10
162 498 2
162 7 6
163 655 24
163 253 7
163 439 49
164 422 28
164 468 26
164 576 15
165 81 10
165 114 6
165 194 9
166 374 43
166 206 0
166 9 7
167 97 0
167 504 45
167 112 38
168 552 43
168 229 1
168 359 27
169 591 21
169 314 28
169 411 6
170 166 11
170 630 42
170 234 45
171 483 20
171 562 39
171 121 40
172 246 25
172 615 13
172 469 44
173 235 43
173 554 25
173 194 43
174 642 44
174 440 32
174 153 40
175 308 11
175 326 7
175 534 37
176 349 26
176 263 49
176 215 37
177 252 7
177 503 6
177 92 48
178 667 13
178 482 41
178 339 25
179 10 31
179 528 8
179 166 30
180 309 23
180 330 42
180 672 15
181 25 2
181 393 33
181 514 42
182 39 35
182 248 1
182 412 12
183 526 5
183 110 20
183 204 23
184 177 34
184 717 4
184 432 41
185 418 35
185 407 13
185 41 29
186 274 33
186 418 42
186 136 49
187 185 5
187 194 19
187 263 13
188 285 26
188 429 24
188 261 44
189 604 28
189 141 50
189 672 35
190 370 20
190 126 9
190 604 22
191 508 12
191 102 22
191 691 0
192 176 5
192 464 1
192 479 41
193 190 2
193 307 37
193 622 19
194 722 29
194 588 38
194 440 17
195 319 26
195 655 42
195 146 14
196 424 36
196 45 12
196 546 34
197 367 46
197 144 38
197 544 1
198 298 37
198 427 0
198 651 5
199 553 16
199 593 7
199 219 1
200 313 35
200 409 39
200 399 37
201 381 50
201 686 17
201 1 31
202 250 7
202 707 38
202 425 31
203 436 4
203 695 9
203 382 8
204 597 46
204 521 21
204 141 25
205 647 40
205 485 48
205 246 15
206 503 26
206 510 39
206 702 6
207 389 4
207 231 45
207 18 33
208 586 20
208 233 47
208 169 22
209 660 45
209 216 47
209 218 48
210 474 40
210 67 20
210 96 32
211 23 4
211 670 18
211 607 23
212 423 16
212 581 24
212 378 9
213 572 29
213 142 42
213 151 16
214 466 4
214 111 24
214 181 23
215 151 15
215 266 23
215 639 50
216 496 37
216 707 40
216 241 36
217 519 16
217 516 37
217 68 40
218 185 32
218 117 48
218 672 7
219 565 11
219 636 21
219 348 4
220 313 42
220 291 28
220 520 11
221 654 8
221 648 10
221 549 33
222 238 39
222 638 21
222 30 9
223 614 32
223 94 28
223 477 1
224 131 32
224 477 38
224 62 28
225 502 15
225 418 41
225 624 19
226 463 2
226 403 46
226 268 5
227 31 31
227 592 26
227 329 16
228 257 1
228 534 14
228 226 2
229 262 50
229 688 28
229 432 32
230 574 42
230 172 2
230 250 15
231 599 6
231 270 33
231 572 29
232 443 24
232 564 36
232 691 35
233 114 44
233 105 4
233 415 30
234 156 25
234 157 20
234 159 36
235 368 11
235 721 18
235 151 35
236 206 6
236 446 13
236 411 28
237 199 22
237 21 16
237 687 33
238 328 15
238 369 44
238 1 13
239 126 7
239 519 1
239 509 36
240 574 45
240 419 2
240 8 3
241 320 23
241 556 35
241 551 20
242 266 27
242 288 5
