729 4
0 642 4
0 445 38
0 240 45
0 395 23
1 425 35
1 136 16
1 269 12
1 182 12
2 389 20
2 512 26
2 111 44
2 39 38
3 261 36
3 604 44
3 632 2
3 452 27
4 223 14
4 630 32
4 96 30
4 210 23
5 11 36
5 151 26
5 510 17
5 218 31
6 728 44
6 629 31
6 367 15
6 264 28
7 544 16
7 104 37
7 143 26
7 314 32
8 170 28
8 364 34
8 680 27
8 493 20
9 649 30
9 117 46
9 495 13
9 442 39
10 720 14
10 36 27
10 719 30
10 199 27
11 261 48
11 631 20
11 609 42
11 420 25
12 555 22
12 249 40
12 395 49
12 634 35
13 573 20
13 182 9
13 621 40
13 285 37
14 597 38
14 77 2
14 93 34
14 117 28
15 489 19
15 450 13
15 417 45
15 399 42
16 210 2
16 84 48
16 633 24
16 514 26
17 268 9
17 543 0
17 386 39
17 58 12
18 218 2
18 61 38
18 532 40
18 165 27
19 240 3
19 196 46
19 31 21
19 516 45
20 206 34
20 75 19
20 372 49
20 546 25
21 152 36
21 310 21
21 375 20
21 675 0
22 478 23
22 323 1
22 137 29
22 475 46
23 32 2
23 254 12
23 307 32
23 147 20
24 311 37
24 648 5
24 517 14
24 510 42
25 188 21
25 230 8
25 294 15
25 48 14
26 59 50
26 688 0
26 355 28
26 327 30
27 580 2
27 465 19
27 343 4
27 187 5
28 456 38
28 447 46
28 461 2
28 476 16
29 119 24
29 322 20
29 363 8
29 543 32
30 349 41
30 67 36
30 670 25
30 613 37
31 351 33
31 459 42
31 159 39
31 112 17
32 710 8
32 437 21
32 596 25
32 575 19
33 350 34
33 148 37
33 702 28
33 472 45
34 160 28
34 440 36
34 223 35
34 317 9
35 241 42
35 458 42
35 669 13
35 547 26
36 284 5
36 376 46
36 516 46
36 657 18
37 449 17
37 659 24
37 165 19
37 479 6
38 607 18
38 525 13
38 48 14
38 303 5
39 697 14
39 324 35
39 589 33
39 397 43
40 613 11
40 179 25
40 6 38
40 384 6
41 378 38
41 390 15
41 714 12
41 400 2
42 51 10
42 205 46
42 195 7
42 57 32
43 656 42
43 8 47
43 598 9
43 245 49
44 186 14
44 37 16
44 542 16
44 164 3
45 650 38
45 470 33
45 319 7
45 255 49
46 41 6
46 548 20
46 168 25
46 716 2
47 117 29
47 478 23
47 103 15
47 90 27
48 204 32
48 560 40
48 87 50
48 525 35
49 293 22
49 272 46
49 434 30
49 332 19
50 65 36
50 371 17
50 43 14
50 699 23
51 406 3
51 553 15
51 218 25
51 575 4
52 642 50
52 265 39
52 662 12
52 450 33
53 231 10
53 660 7
53 565 37
53 591 39
54 351 22
54 694 28
54 708 20
54 585 41
55 198 16
55 679 10
55 272 7
55 509 48
56 60 38
56 703 11
56 689 17
56 73 22
57 39 49
57 90 4
57 402 22
57 692 12
58 355 3
58 297 9
58 193 47
58 494 20
59 274 31
59 205 43
59 603 30
59 687 16
60 115 17
60 542 26
60 725 34
60 268 36
61 207 45
61 332 20
61 126 5
61 414 29
62 333 32
62 649 39
62 124 23
62 634 12
63 214 25
63 366 40
63 659 39
63 567 26
64 540 47
64 336 18
64 509 26
64 611 38
65 208 20
65 668 3
65 712 31
65 313 6
66 257 47
66 663 38
66 542 29
66 714 48
67 658 13
67 60 1
67 639 4
67 458 27
68 706 47
68 419 20
68 459 39
68 68 1
69 393 7
69 193 26
69 52 21
69 415 23
70 393 1
70 634 47
70 55 45
70 381 14
71 393 23
71 40 44
71 616 23
71 26 48
72 316 27
72 168 6
72 177 39
72 609 30
73 97 5
73 697 27
73 400 22
73 62 38
74 461 12
74 446 27
74 716 1
74 244 6
75 649 47
75 103 30
75 577 16
75 477 1
76 677 37
76 124 48
76 671 21
76 718 34
77 333 24
77 716 42
77 278 31
77 214 14
78 589 34
78 562 7
78 300 7
78 342 1
79 0 15
79 515 40
79 493 7
79 338 32
80 624 11
80 601 34
80 673 6
80 345 32
