81 2
0 18 22
0 71 50
1 10 5
1 38 3
2 1 33
2 5 45
3 35 42
3 8 39
4 18 48
4 80 49
5 5 41
5 8 29
6 42 13
6 30 21
7 44 15
7 51 9
8 29 5
8 15 23
9 21 46
9 73 6
10 24 31
10 12 2
11 40 25
11 12 0
12 55 48
12 16 22
13 68 50
13 41 44
14 34 48
14 46 49
15 60 3
15 50 0
16 76 11
16 78 13
17 25 48
17 29 49
18 53 23
18 19 36
19 55 12
19 30 27
20 68 27
20 7 36
21 36 48
21 70 10
22 31 1
22 3 16
23 42 44
23 62 50
24 49 20
24 69 29
25 72 33
25 76 47
26 70 33
26 57 42
27 29 22
27 58 49
28 37 10
28 41 33
29 10 3
29 58 35
30 46 3
30 24 43
31 57 37
31 67 40
32 18 46
32 50 46
33 24 17
33 53 43
34 46 50
34 32 46
35 58 38
35 9 43
36 34 49
36 15 18
37 47 2
37 41 36
38 17 41
38 57 49
39 16 15
39 58 16
40 65 48
40 35 5
41 43 4
41 57 24
42 66 47
42 73 6
43 27 28
43 31 25
44 27 28
44 10 24
45 18 45
45 43 43
46 76 1
46 46 7
47 17 48
47 11 13
48 69 41
48 59 45
49 24 27
49 12 20
50 61 2
50 28 3
51 69 23
51 33 46
52 33 27
52 65 45
53 64 0
53 30 20
54 39 20
54 68 42
55 11 9
55 36 28
56 16 36
56 32 22
57 31 12
57 3 13
58 17 39
58 44 15
59 40 2
59 26 22
60 43 12
60 70 37
61 33 44
61 73 24
62 24 12
62 5 22
63 46 41
63 51 6
64 23 23
64 9 6
65 45 37
65 42 20
66 62 14
66 1 4
67 18 20
67 65 19
68 9 25
68 21 4
69 18 18
69 2 18
70 6 28
70 39 35
71 56 41
71 55 35
72 37 37
72 62 44
73 61 33
73 73 28
74 42 34
74 41 10
75 39 15
75 61 47
76 30 33
76 65 38
77 54 0
77 0 50
78 38 11
78 0 49
79 5 40
79 49 38
80 10 31
80 15 25
