243 3
0 185 26
0 238 4
0 140 26
1 22 0
1 74 34
1 89 19
2 59 37
2 118 26
2 61 0
3 37 35
3 46 6
3 221 49
4 127 33
4 199 39
4 19 14
5 94 17
5 99 35
5 136 12
6 117 9
6 106 1
6 162 19
7 174 41
7 195 25
7 40 2
8 151 11
8 98 19
8 123 14
9 92 1
9 232 38
9 49 49
10 127 7
10 170 28
10 94 18
11 93 47
11 12 49
11 144 32
12 56 37
12 80 43
12 194 8
13 39 16
13 4 34
13 103 2
14 56 27
14 57 13
14 116 10
15 160 29
15 159 8
15 215 46
16 118 2
16 123 39
16 114 48
17 208 12
17 7 42
17 199 22
18 240 25
18 112 1
18 144 11
19 168 24
19 21 46
19 177 15
20 55 36
20 17 17
20 214 14
21 81 30
21 164 20
21 123 6
22 172 26
22 241 7
22 183 20
23 146 30
23 182 1
23 93 40
24 73 38
24 176 5
24 177 35
25 182 7
25 104 0
25 58 35
26 36 8
26 183 34
26 142 30
27 75 26
27 131 45
27 101 7
28 193 33
28 145 43
28 102 4
29 98 5
29 47 48
29 49 27
30 190 26
30 99 20
30 57 31
31 117 16
31 20 38
31 152 22
32 12 38
32 51 32
32 108 25
33 77 31
33 146 29
33 182 49
34 45 40
34 167 44
34 47 14
35 114 19
35 11 16
35 57 39
36 232 49
36 156 36
36 183 16
37 174 38
37 92 38
37 14 6
38 235 43
38 72 4
38 204 4
39 132 30
39 53 27
39 46 7
40 149 12
40 128 28
40 111 2
41 189 8
41 46 13
41 194 22
42 66 42
42 64 0
42 240 10
43 82 4
43 112 18
43 189 31
44 212 30
44 42 44
44 80 19
45 117 17
45 19 37
45 30 33
46 14 42
46 86 3
46 58 23
47 228 1
47 21 11
47 115 9
48 60 49
48 200 27
48 219 31
49 55 14
49 71 8
49 161 50
50 50 12
50 68 13
50 14 11
51 101 32
51 192 27
51 160 8
52 130 24
52 124 18
52 234 43
53 179 46
53 139 30
53 12 18
54 86 8
54 179 41
54 164 6
55 28 21
55 75 48
55 27 40
56 53 45
56 189 40
56 130 20
57 122 32
57 80 24
57 65 29
58 52 27
58 173 42
58 46 18
59 19 37
59 162 26
59 53 45
60 119 0
60 133 27
60 46 40
61 240 44
61 181 31
61 84 12
62 233 35
62 139 13
62 186 44
63 193 10
63 116 29
63 225 35
64 56 12
64 92 18
64 43 26
65 26 10
65 129 19
65 144 22
66 166 46
66 204 41
66 241 48
67 224 10
67 162 45
67 91 17
68 220 31
68 140 3
68 159 23
69 102 39
69 67 48
69 55 4
70 192 1
70 7 30
70 147 47
71 87 34
71 215 48
71 108 34
72 110 38
72 162 46
72 189 26
73 82 28
73 214 28
73 182 0
74 91 29
74 98 47
74 198 20
75 31 12
75 179 10
75 159 31
76 162 7
76 45 23
76 33 47
77 119 6
77 172 2
77 90 36
78 20 1
78 114 15
78 61 35
79 242 45
79 41 17
79 0 23
80 106 14
80 92 45
80 159 13
81 241 32
81 175 36
81 240 49
82 195 7
82 20 21
82 177 24
83 39 21
83 123 20
83 128 32
84 10 20
84 55 4
84 231 16
85 169 43
85 223 10
85 221 25
86 140 21
86 59 7
86 150 19
87 15 1
87 45 38
87 238 40
88 222 28
88 155 43
88 153 22
89 184 44
89 99 11
89 25 41
90 201 38
90 170 37
90 77 39
91 168 45
91 76 45
91 191 18
92 99 45
92 192 10
92 18 41
93 78 33
93 226 33
93 235 17
94 222 23
94 125 25
94 189 34
95 141 46
95 149 15
95 163 38
96 114 22
96 183 40
96 235 42
97 189 28
97 84 43
97 74 31
98 153 43
98 238 8
98 57 34
99 196 45
99 140 26
99 107 31
100 82 49
100 128 44
100 201 44
101 28 24
101 158 2
101 179 22
102 191 32
102 240 33
102 13 5
103 216 3
103 163 11
103 55 31
104 172 11
104 8 37
104 174 32
105 158 49
105 198 31
105 41 3
106 210 35
106 132 14
106 231 42
107 127 48
107 31 30
107 201 41
108 90 49
108 172 2
108 214 22
109 0 41
109 173 12
109 158 46
110 229 40
110 5 31
110 81 19
111 197 20
111 63 23
111 164 27
112 61 44
112 216 23
112 129 19
113 204 30
113 215 46
113 232 9
114 116 25
114 177 38
114 230 24
115 45 34
115 149 3
115 216 24
116 90 45
116 239 26
116 218 0
117 55 28
117 63 0
117 103 12
118 219 22
118 23 10
118 75 26
119 41 17
119 193 2
119 7 6
120 193 3
120 38 23
120 148 41
121 175 33
121 12 40
121 39 27
122 60 2
122 108 25
122 49 3
123 120 4
123 219 31
123 52 49
124 103 34
124 179 48
124 175 12
125 36 45
125 168 9
125 96 34
126 39 11
126 229 22
126 30 3
127 229 1
127 216 21
127 31 4
128 224 0
128 119 42
128 175 7
129 149 10
129 67 23
129 231 36
130 91 10
130 32 4
130 69 3
131 63 3
131 174 23
131 25 33
132 40 44
132 111 15
132 80 21
133 135 30
133 41 21
133 213 29
134 190 2
134 83 35
134 229 29
135 76 6
135 232 45
135 196 10
136 101 7
136 113 30
136 161 25
137 221 6
137 189 23
137 218 24
138 0 37
138 196 40
138 7 1
139 42 8
139 177 40
139 168 42
140 174 15
140 1 20
140 69 9
141 121 15
141 7 49
141 194 50
142 76 38
142 116 37
142 92 35
143 199 22
143 138 46
143 180 25
144 172 10
144 102 36
144 167 37
145 204 23
145 239 8
145 195 27
146 98 16
146 110 19
146 200 11
147 231 13
147 11 26
147 26 15
148 216 33
148 166 15
148 75 44
149 4 49
149 71 24
149 140 6
150 206 30
150 123 21
150 10 38
151 209 41
151 71 22
151 140 28
152 145 39
152 105 35
