81 2
0 78 2
0 21 48
1 69 16
1 6 32
2 6 17
2 62 42
3 62 16
3 53 28
4 12 49
4 34 13
5 3 50
5 25 15
6 67 47
6 51 30
7 41 35
7 52 17
8 2 24
8 23 7
9 47 25
9 51 47
10 9 2
10 51 23
11 76 35
11 3 35
12 2 6
12 55 12
13 38 23
13 4 32
14 59 4
14 60 0
15 51 45
15 66 4
16 19 42
16 53 10
17 12 41
17 15 14
18 64 8
18 2 1
19 46 8
19 72 30
20 56 16
20 37 29
21 2 14
21 36 47
22 65 46
22 47 1
23 9 2
23 73 30
24 47 46
24 59 33
25 73 33
25 6 25
26 48 40
26 26 2
27 9 45
27 57 27
28 32 8
28 53 5
29 62 10
29 22 21
30 51 25
30 61 20
31 41 34
31 20 20
32 51 40
32 40 36
33 2 33
33 53 12
34 78 2
34 37 41
35 2 26
35 61 48
36 30 39
36 11 21
37 35 36
37 58 38
38 74 18
38 28 11
39 53 2
39 8 11
40 24 43
40 41 0
41 36 48
41 27 1
42 61 28
42 44 34
43 34 10
43 24 42
44 31 26
44 38 12
45 44 2
45 50 15
46 19 30
46 41 49
47 32 25
47 70 26
48 13 6
48 10 30
49 20 30
49 79 37
50 1 34
50 31 46
51 21 46
51 31 41
52 57 16
52 17 40
53 26 13
53 62 30
54 51 22
54 50 16
55 35 23
55 20 28
56 0 10
56 21 47
57 50 35
57 20 12
58 52 25
58 75 34
59 76 13
59 30 26
60 1 19
60 27 50
61 76 11
61 56 35
62 48 21
62 0 32
63 72 32
63 47 45
64 64 0
64 19 23
65 62 44
65 76 11
66 57 47
66 77 4
67 71 28
67 80 18
68 12 17
68 72 14
69 7 20
69 35 43
70 66 17
70 34 38
71 62 16
71 20 11
72 24 14
72 53 28
73 23 19
73 71 24
74 4 37
74 7 35
75 20 3
75 61 45
76 9 2
76 45 26
77 68 40
77 50 23
78 23 46
78 71 47
79 57 17
79 14 49
80 73 29
80 28 5
